dealer_id,dealer_name,city,salesman_id,is_salesman_favorite,credit_score,risk_flag,true_risk_profile,is_high_risk
D0080,Ph-Rawalpindi-0080 Traders,Rawalpindi,SM008,True,385.0,RED (High Risk),Risky,1
D0030,Ph-InteriorSindh-0030 Traders,Interior Sindh,SM001,False,400.0,RED (High Risk),Risky,1
D0095,Ph-Gujranwala-0095 Traders,Gujranwala,SM005,True,400.0,RED (High Risk),Risky,1
D0215,Te-InteriorPunjab-0215 Traders,Interior Punjab,SM001,False,419.0,RED (High Risk),Risky,1
D0007,Ph-Karachi-0007 Traders,Karachi,SM001,False,420.0,RED (High Risk),Risky,1
D0083,Ph-Gujranwala-0083 Traders,Gujranwala,SM007,False,427.0,RED (High Risk),Risky,1
D0052,Ph-Karachi-0052 Traders,Karachi,SM007,False,429.0,RED (High Risk),Risky,1
D0073,FM-Karachi-0073 Traders,Karachi,SM003,False,431.0,RED (High Risk),Risky,1
D0181,Ph-Faisalabad-0181 Traders,Faisalabad,SM005,False,438.0,RED (High Risk),Risky,1
D0113,Ph-Lahore-0113 Traders,Lahore,SM008,False,444.0,RED (High Risk),Risky,1
D0025,Te-Peshawar-0025 Traders,Peshawar,SM006,False,452.0,RED (High Risk),Risky,1
D0125,Ph-InteriorSindh-0125 Traders,Interior Sindh,SM005,True,453.0,RED (High Risk),Risky,1
D0103,Te-Faisalabad-0103 Traders,Faisalabad,SM004,False,459.0,RED (High Risk),Risky,1
D0099,FM-Karachi-0099 Traders,Karachi,SM006,False,461.0,RED (High Risk),Risky,1
D0039,Ph-InteriorSindh-0039 Traders,Interior Sindh,SM003,False,465.0,RED (High Risk),Risky,1
D0177,Ph-Lahore-0177 Traders,Lahore,SM002,True,467.0,RED (High Risk),Risky,1
D0037,FM-Multan-0037 Traders,Multan,SM001,False,473.0,RED (High Risk),Risky,1
D0035,Ph-Karachi-0035 Traders,Karachi,SM006,False,475.0,RED (High Risk),Risky,1
D0167,FM-Peshawar-0167 Traders,Peshawar,SM006,False,479.0,RED (High Risk),Risky,1
D0070,Te-Karachi-0070 Traders,Karachi,SM003,True,480.0,RED (High Risk),Risky,1
D0119,FM-Peshawar-0119 Traders,Peshawar,SM006,False,480.0,RED (High Risk),Risky,1
D0069,FM-InteriorPunjab-0069 Traders,Interior Punjab,SM002,False,482.0,RED (High Risk),Risky,1
D0038,Te-Gujranwala-0038 Traders,Gujranwala,SM008,False,487.0,RED (High Risk),Risky,1
D0028,FM-Karachi-0028 Traders,Karachi,SM008,False,511.0,RED (High Risk),Risky,1
D0057,Te-Islamabad-0057 Traders,Islamabad,SM008,False,516.0,RED (High Risk),Risky,1
D0184,Te-InteriorPunjab-0184 Traders,Interior Punjab,SM007,False,519.0,RED (High Risk),Risky,1
D0086,FM-InteriorSindh-0086 Traders,Interior Sindh,SM002,False,522.0,RED (High Risk),Risky,1
D0058,FM-Karachi-0058 Traders,Karachi,SM002,False,525.0,RED (High Risk),Risky,1
D0104,Te-Karachi-0104 Traders,Karachi,SM004,False,529.0,RED (High Risk),Risky,1
D0176,Ph-Karachi-0176 Traders,Karachi,SM002,False,536.0,RED (High Risk),Risky,1
D0208,Te-Faisalabad-0208 Traders,Faisalabad,SM006,False,538.0,RED (High Risk),Risky,1
D0034,Ph-InteriorPunjab-0034 Traders,Interior Punjab,SM003,False,540.0,RED (High Risk),Risky,1
D0207,Ph-InteriorSindh-0207 Traders,Interior Sindh,SM004,False,561.0,RED (High Risk),Risky,1
D0212,FM-Peshawar-0212 Traders,Peshawar,SM002,False,564.0,RED (High Risk),Risky,1
D0193,Te-Peshawar-0193 Traders,Peshawar,SM001,False,564.0,RED (High Risk),Risky,1
D0195,Ph-Karachi-0195 Traders,Karachi,SM008,False,582.0,AMBER (Moderate),Risky,1
D0137,Ph-InteriorSindh-0137 Traders,Interior Sindh,SM004,False,639.0,AMBER (Moderate),Risky,1
