dealer_id,dealer_name,city,territory_risk_tier,sector,salesman_id,is_salesman_favorite,credit_limit_pkr,onboarding_date,true_risk_profile
D0001,FM-Islamabad-0001 Traders,Islamabad,Low,FMCG,SM001,False,50000,2021-07-11,Reliable
D0002,Te-Lahore-0002 Traders,Lahore,Low,Textile,SM007,False,350000,2024-05-17,Reliable
D0003,FM-Karachi-0003 Traders,Karachi,Medium,FMCG,SM001,True,200000,2024-01-22,Moderate
D0004,Ph-Rawalpindi-0004 Traders,Rawalpindi,Low,Pharma,SM003,False,100000,2024-04-21,Reliable
D0005,FM-Lahore-0005 Traders,Lahore,Low,FMCG,SM001,True,750000,2021-11-23,Reliable
D0006,Ph-InteriorSindh-0006 Traders,Interior Sindh,High,Pharma,SM008,False,500000,2022-07-24,Reliable
D0007,Ph-Karachi-0007 Traders,Karachi,Medium,Pharma,SM001,False,750000,2021-07-29,Risky
D0008,FM-Karachi-0008 Traders,Karachi,Medium,FMCG,SM003,False,50000,2023-01-06,Reliable
D0009,Te-InteriorPunjab-0009 Traders,Interior Punjab,Medium,Textile,SM002,True,50000,2022-06-26,Reliable
D0010,Te-InteriorPunjab-0010 Traders,Interior Punjab,Medium,Textile,SM006,False,500000,2023-07-30,Moderate
D0011,Ph-Faisalabad-0011 Traders,Faisalabad,Medium,Pharma,SM006,False,750000,2021-06-11,Moderate
D0012,Te-Faisalabad-0012 Traders,Faisalabad,Medium,Textile,SM006,False,750000,2023-01-11,Moderate
D0013,Te-Faisalabad-0013 Traders,Faisalabad,Medium,Textile,SM007,False,100000,2021-05-23,Reliable
D0014,FM-Karachi-0014 Traders,Karachi,Medium,FMCG,SM008,False,750000,2022-08-16,Reliable
D0015,FM-Multan-0015 Traders,Multan,Medium,FMCG,SM006,False,350000,2021-07-26,Moderate
D0016,Ph-Rawalpindi-0016 Traders,Rawalpindi,Low,Pharma,SM004,False,750000,2023-01-18,Moderate
D0017,Ph-Lahore-0017 Traders,Lahore,Low,Pharma,SM005,False,750000,2022-03-06,Reliable
D0018,Te-Gujranwala-0018 Traders,Gujranwala,Medium,Textile,SM006,False,500000,2021-05-27,Reliable
D0019,FM-Faisalabad-0019 Traders,Faisalabad,Medium,FMCG,SM006,False,50000,2023-12-30,Reliable
D0020,FM-InteriorSindh-0020 Traders,Interior Sindh,High,FMCG,SM003,False,50000,2023-08-05,Moderate
D0021,Te-Rawalpindi-0021 Traders,Rawalpindi,Low,Textile,SM005,False,50000,2024-02-15,Reliable
D0022,Ph-Lahore-0022 Traders,Lahore,Low,Pharma,SM004,False,200000,2021-04-25,Reliable
D0023,FM-Lahore-0023 Traders,Lahore,Low,FMCG,SM006,False,50000,2022-10-09,Reliable
D0024,FM-Rawalpindi-0024 Traders,Rawalpindi,Low,FMCG,SM008,False,200000,2022-03-09,Reliable
D0025,Te-Peshawar-0025 Traders,Peshawar,High,Textile,SM006,False,50000,2022-10-07,Risky
D0026,Ph-Lahore-0026 Traders,Lahore,Low,Pharma,SM008,False,350000,2023-03-22,Reliable
D0027,Te-InteriorPunjab-0027 Traders,Interior Punjab,Medium,Textile,SM005,False,50000,2023-07-29,Moderate
D0028,FM-Karachi-0028 Traders,Karachi,Medium,FMCG,SM008,False,50000,2022-05-21,Risky
D0029,Te-InteriorSindh-0029 Traders,Interior Sindh,High,Textile,SM001,False,500000,2022-06-23,Reliable
D0030,Ph-InteriorSindh-0030 Traders,Interior Sindh,High,Pharma,SM001,False,350000,2024-04-10,Risky
D0031,FM-Rawalpindi-0031 Traders,Rawalpindi,Low,FMCG,SM002,False,350000,2021-10-11,Moderate
D0032,FM-Islamabad-0032 Traders,Islamabad,Low,FMCG,SM001,False,750000,2021-04-07,Reliable
D0033,FM-InteriorPunjab-0033 Traders,Interior Punjab,Medium,FMCG,SM003,True,50000,2021-11-24,Reliable
D0034,Ph-InteriorPunjab-0034 Traders,Interior Punjab,Medium,Pharma,SM003,False,50000,2024-05-06,Risky
D0035,Ph-Karachi-0035 Traders,Karachi,Medium,Pharma,SM006,False,500000,2024-05-05,Risky
D0036,Te-Multan-0036 Traders,Multan,Medium,Textile,SM005,False,200000,2022-05-30,Reliable
D0037,FM-Multan-0037 Traders,Multan,Medium,FMCG,SM001,False,50000,2021-08-23,Risky
D0038,Te-Gujranwala-0038 Traders,Gujranwala,Medium,Textile,SM008,False,500000,2022-07-01,Risky
D0039,Ph-InteriorSindh-0039 Traders,Interior Sindh,High,Pharma,SM003,False,350000,2021-08-17,Risky
D0040,FM-Lahore-0040 Traders,Lahore,Low,FMCG,SM006,False,750000,2023-07-19,Reliable
D0041,Te-Karachi-0041 Traders,Karachi,Medium,Textile,SM003,False,200000,2022-06-24,Reliable
