dealer_id,dealer_name,city,salesman_id,is_salesman_favorite,credit_score,risk_flag,scoring_method
D0095,Ph-Gujranwala-0095 Traders,Gujranwala,SM005,True,385.0,RED (High Risk),Statistical
D0080,Ph-Rawalpindi-0080 Traders,Rawalpindi,SM008,True,418.0,RED (High Risk),Statistical
D0083,Ph-Gujranwala-0083 Traders,Gujranwala,SM007,False,422.0,RED (High Risk),Statistical
D0181,Ph-Faisalabad-0181 Traders,Faisalabad,SM005,False,428.0,RED (High Risk),Statistical
D0125,Ph-InteriorSindh-0125 Traders,Interior Sindh,SM005,True,439.0,RED (High Risk),Statistical
D0052,Ph-Karachi-0052 Traders,Karachi,SM007,False,442.0,RED (High Risk),Statistical
D0167,FM-Peshawar-0167 Traders,Peshawar,SM006,False,442.0,RED (High Risk),Statistical
D0215,Te-InteriorPunjab-0215 Traders,Interior Punjab,SM001,False,453.0,RED (High Risk),Statistical
D0030,Ph-InteriorSindh-0030 Traders,Interior Sindh,SM001,False,455.0,RED (High Risk),Statistical
D0073,FM-Karachi-0073 Traders,Karachi,SM003,False,467.0,RED (High Risk),Statistical
D0177,Ph-Lahore-0177 Traders,Lahore,SM002,True,474.0,RED (High Risk),Statistical
D0035,Ph-Karachi-0035 Traders,Karachi,SM006,False,476.0,RED (High Risk),Statistical
D0025,Te-Peshawar-0025 Traders,Peshawar,SM006,False,478.0,RED (High Risk),Statistical
D0070,Te-Karachi-0070 Traders,Karachi,SM003,True,479.0,RED (High Risk),Statistical
D0103,Te-Faisalabad-0103 Traders,Faisalabad,SM004,False,481.0,RED (High Risk),Statistical
D0069,FM-InteriorPunjab-0069 Traders,Interior Punjab,SM002,False,485.0,RED (High Risk),Statistical
D0037,FM-Multan-0037 Traders,Multan,SM001,False,485.0,RED (High Risk),Statistical
D0039,Ph-InteriorSindh-0039 Traders,Interior Sindh,SM003,False,485.0,RED (High Risk),Statistical
D0007,Ph-Karachi-0007 Traders,Karachi,SM001,False,485.0,RED (High Risk),Statistical
D0119,FM-Peshawar-0119 Traders,Peshawar,SM006,False,487.0,RED (High Risk),Statistical
D0038,Te-Gujranwala-0038 Traders,Gujranwala,SM008,False,491.0,RED (High Risk),Statistical
D0113,Ph-Lahore-0113 Traders,Lahore,SM008,False,504.0,RED (High Risk),Statistical
D0028,FM-Karachi-0028 Traders,Karachi,SM008,False,506.0,RED (High Risk),Statistical
D0099,FM-Karachi-0099 Traders,Karachi,SM006,False,507.0,RED (High Risk),Statistical
D0057,Te-Islamabad-0057 Traders,Islamabad,SM008,False,509.0,RED (High Risk),Statistical
D0086,FM-InteriorSindh-0086 Traders,Interior Sindh,SM002,False,519.0,RED (High Risk),Statistical
D0212,FM-Peshawar-0212 Traders,Peshawar,SM002,False,520.0,RED (High Risk),Statistical
D0176,Ph-Karachi-0176 Traders,Karachi,SM002,False,521.0,RED (High Risk),Statistical
D0058,FM-Karachi-0058 Traders,Karachi,SM002,False,522.0,RED (High Risk),Statistical
D0193,Te-Peshawar-0193 Traders,Peshawar,SM001,False,523.0,RED (High Risk),Statistical
D0195,Ph-Karachi-0195 Traders,Karachi,SM008,False,531.0,RED (High Risk),Statistical
D0104,Te-Karachi-0104 Traders,Karachi,SM004,False,532.0,RED (High Risk),Statistical
D0034,Ph-InteriorPunjab-0034 Traders,Interior Punjab,SM003,False,532.0,RED (High Risk),Statistical
D0184,Te-InteriorPunjab-0184 Traders,Interior Punjab,SM007,False,532.0,RED (High Risk),Statistical
D0208,Te-Faisalabad-0208 Traders,Faisalabad,SM006,False,536.0,RED (High Risk),Statistical
D0207,Ph-InteriorSindh-0207 Traders,Interior Sindh,SM004,False,543.0,RED (High Risk),Statistical
D0137,Ph-InteriorSindh-0137 Traders,Interior Sindh,SM004,False,632.0,AMBER (Moderate),Statistical
D0071,FM-InteriorPunjab-0071 Traders,Interior Punjab,SM005,False,665.0,AMBER (Moderate),Statistical
D0053,Te-Lahore-0053 Traders,Lahore,SM008,True,681.0,AMBER (Moderate),Statistical
D0165,Te-InteriorPunjab-0165 Traders,Interior Punjab,SM001,False,694.0,AMBER (Moderate),Statistical
D0145,Ph-Lahore-0145 Traders,Lahore,SM005,False,696.0,AMBER (Moderate),Statistical
D0100,Ph-Lahore-0100 Traders,Lahore,SM005,True,696.0,AMBER (Moderate),Statistical
D0155,Te-Gujranwala-0155 Traders,Gujranwala,SM008,False,702.0,GREEN (Reliable),Statistical
D0011,Ph-Faisalabad-0011 Traders,Faisalabad,SM006,False,704.0,GREEN (Reliable),Statistical
D0010,Te-InteriorPunjab-0010 Traders,Interior Punjab,SM006,False,708.0,GREEN (Reliable),Statistical
D0046,Te-Faisalabad-0046 Traders,Faisalabad,SM002,False,708.0,GREEN (Reliable),Statistical
D0012,Te-Faisalabad-0012 Traders,Faisalabad,SM006,False,712.0,GREEN (Reliable),Statistical
D0016,Ph-Rawalpindi-0016 Traders,Rawalpindi,SM004,False,718.0,GREEN (Reliable),Statistical
D0064,FM-Gujranwala-0064 Traders,Gujranwala,SM002,False,723.0,GREEN (Reliable),Statistical
D0179,FM-Rawalpindi-0179 Traders,Rawalpindi,SM007,False,728.0,GREEN (Reliable),Statistical
D0049,FM-Lahore-0049 Traders,Lahore,SM003,False,728.0,GREEN (Reliable),Statistical
D0190,Te-Rawalpindi-0190 Traders,Rawalpindi,SM002,False,729.0,GREEN (Reliable),Statistical
D0206,FM-Faisalabad-0206 Traders,Faisalabad,SM003,False,729.0,GREEN (Reliable),Statistical
D0160,Te-Rawalpindi-0160 Traders,Rawalpindi,SM005,False,729.0,GREEN (Reliable),Statistical
D0166,Te-Islamabad-0166 Traders,Islamabad,SM002,False,732.0,GREEN (Reliable),Statistical
D0027,Te-InteriorPunjab-0027 Traders,Interior Punjab,SM005,False,733.0,GREEN (Reliable),Statistical
D0170,Ph-Multan-0170 Traders,Multan,SM004,False,733.0,GREEN (Reliable),Statistical
D0031,FM-Rawalpindi-0031 Traders,Rawalpindi,SM002,False,734.0,GREEN (Reliable),Statistical
D0003,FM-Karachi-0003 Traders,Karachi,SM001,True,736.0,GREEN (Reliable),Statistical
D0198,Ph-InteriorSindh-0198 Traders,Interior Sindh,SM007,False,737.0,GREEN (Reliable),Statistical
D0121,Ph-InteriorPunjab-0121 Traders,Interior Punjab,SM002,True,737.0,GREEN (Reliable),Statistical
D0139,Te-Rawalpindi-0139 Traders,Rawalpindi,SM008,True,740.0,GREEN (Reliable),Statistical
D0130,FM-Karachi-0130 Traders,Karachi,SM008,False,742.0,GREEN (Reliable),Statistical
D0020,FM-InteriorSindh-0020 Traders,Interior Sindh,SM003,False,743.0,GREEN (Reliable),Statistical
D0015,FM-Multan-0015 Traders,Multan,SM006,False,743.0,GREEN (Reliable),Statistical
D0107,Ph-Karachi-0107 Traders,Karachi,SM002,False,743.0,GREEN (Reliable),Statistical
D0077,FM-Multan-0077 Traders,Multan,SM008,False,746.0,GREEN (Reliable),Statistical
D0156,FM-Karachi-0156 Traders,Karachi,SM004,False,747.0,GREEN (Reliable),Statistical
D0199,Ph-InteriorSindh-0199 Traders,Interior Sindh,SM001,False,747.0,GREEN (Reliable),Statistical
D0204,Te-InteriorPunjab-0204 Traders,Interior Punjab,SM002,False,751.0,GREEN (Reliable),Statistical
D0122,FM-Peshawar-0122 Traders,Peshawar,SM003,True,751.0,GREEN (Reliable),Statistical
D0060,FM-Lahore-0060 Traders,Lahore,SM006,True,753.0,GREEN (Reliable),Statistical
D0051,Te-InteriorPunjab-0051 Traders,Interior Punjab,SM006,False,756.0,GREEN (Reliable),Statistical
D0066,Ph-Islamabad-0066 Traders,Islamabad,SM001,False,756.0,GREEN (Reliable),Statistical
D0088,Te-Karachi-0088 Traders,Karachi,SM007,True,757.0,GREEN (Reliable),Statistical
D0114,Te-InteriorSindh-0114 Traders,Interior Sindh,SM008,True,763.0,GREEN (Reliable),Statistical
D0109,Ph-InteriorSindh-0109 Traders,Interior Sindh,SM003,False,764.0,GREEN (Reliable),Statistical
D0098,Te-Islamabad-0098 Traders,Islamabad,SM003,False,764.0,GREEN (Reliable),Statistical
D0055,Te-InteriorSindh-0055 Traders,Interior Sindh,SM002,False,767.0,GREEN (Reliable),Statistical
D0043,Te-Peshawar-0043 Traders,Peshawar,SM008,False,767.0,GREEN (Reliable),Statistical
D0106,FM-Lahore-0106 Traders,Lahore,SM004,False,769.0,GREEN (Reliable),Statistical
D0065,Te-Karachi-0065 Traders,Karachi,SM006,False,770.0,GREEN (Reliable),Statistical
D0203,FM-InteriorSindh-0203 Traders,Interior Sindh,SM003,False,771.0,GREEN (Reliable),Statistical
D0183,Te-Peshawar-0183 Traders,Peshawar,SM001,True,778.0,GREEN (Reliable),Statistical
D0151,Te-InteriorSindh-0151 Traders,Interior Sindh,SM003,False,780.0,GREEN (Reliable),Statistical
D0174,Te-InteriorSindh-0174 Traders,Interior Sindh,SM005,True,781.0,GREEN (Reliable),Statistical
D0140,Te-Lahore-0140 Traders,Lahore,SM005,False,781.0,GREEN (Reliable),Statistical
D0054,FM-Islamabad-0054 Traders,Islamabad,SM005,False,781.0,GREEN (Reliable),Statistical
D0185,Ph-Islamabad-0185 Traders,Islamabad,SM007,False,784.0,GREEN (Reliable),Statistical
D0146,Ph-Rawalpindi-0146 Traders,Rawalpindi,SM003,False,785.0,GREEN (Reliable),Statistical
D0154,Ph-Gujranwala-0154 Traders,Gujranwala,SM007,False,788.0,GREEN (Reliable),Statistical
D0087,Te-Faisalabad-0087 Traders,Faisalabad,SM007,False,792.0,GREEN (Reliable),Statistical
D0040,FM-Lahore-0040 Traders,Lahore,SM006,False,793.0,GREEN (Reliable),Statistical
D0127,FM-Rawalpindi-0127 Traders,Rawalpindi,SM007,False,794.0,GREEN (Reliable),Statistical
D0168,Ph-Karachi-0168 Traders,Karachi,SM006,False,795.0,GREEN (Reliable),Statistical
D0021,Te-Rawalpindi-0021 Traders,Rawalpindi,SM005,False,795.0,GREEN (Reliable),Statistical
D0017,Ph-Lahore-0017 Traders,Lahore,SM005,False,796.0,GREEN (Reliable),Statistical
D0171,Te-Islamabad-0171 Traders,Islamabad,SM007,False,801.0,GREEN (Reliable),Statistical
D0182,Ph-Lahore-0182 Traders,Lahore,SM003,False,801.0,GREEN (Reliable),Statistical
D0002,Te-Lahore-0002 Traders,Lahore,SM007,False,805.0,GREEN (Reliable),Statistical
D0072,Te-Lahore-0072 Traders,Lahore,SM006,False,807.0,GREEN (Reliable),Statistical
D0214,Ph-Karachi-0214 Traders,Karachi,SM002,False,811.0,GREEN (Reliable),Statistical
D0148,FM-Gujranwala-0148 Traders,Gujranwala,SM005,False,811.0,GREEN (Reliable),Statistical
D0144,Ph-InteriorSindh-0144 Traders,Interior Sindh,SM005,False,811.0,GREEN (Reliable),Statistical
D0093,Te-Rawalpindi-0093 Traders,Rawalpindi,SM003,False,811.0,GREEN (Reliable),Statistical
D0068,Ph-Rawalpindi-0068 Traders,Rawalpindi,SM003,False,813.0,GREEN (Reliable),Statistical
D0136,Ph-Karachi-0136 Traders,Karachi,SM005,False,814.0,GREEN (Reliable),Statistical
D0173,FM-Islamabad-0173 Traders,Islamabad,SM005,False,814.0,GREEN (Reliable),Statistical
D0161,Te-Lahore-0161 Traders,Lahore,SM002,False,815.0,GREEN (Reliable),Statistical
D0019,FM-Faisalabad-0019 Traders,Faisalabad,SM006,False,817.0,GREEN (Reliable),Statistical
D0116,Ph-Faisalabad-0116 Traders,Faisalabad,SM008,False,819.0,GREEN (Reliable),Statistical
D0076,Te-Karachi-0076 Traders,Karachi,SM007,True,819.0,GREEN (Reliable),Statistical
D0216,Ph-Rawalpindi-0216 Traders,Rawalpindi,SM002,False,820.0,GREEN (Reliable),Statistical
D0108,Ph-Lahore-0108 Traders,Lahore,SM007,False,821.0,GREEN (Reliable),Statistical
D0202,FM-Lahore-0202 Traders,Lahore,SM002,True,822.0,GREEN (Reliable),Statistical
D0085,Te-Faisalabad-0085 Traders,Faisalabad,SM002,False,825.0,GREEN (Reliable),Statistical
D0042,FM-Multan-0042 Traders,Multan,SM002,True,825.0,GREEN (Reliable),Statistical
D0123,FM-Multan-0123 Traders,Multan,SM004,False,825.0,GREEN (Reliable),Statistical
D0082,Te-Islamabad-0082 Traders,Islamabad,SM003,False,825.0,GREEN (Reliable),Statistical
D0157,FM-Lahore-0157 Traders,Lahore,SM005,False,826.0,GREEN (Reliable),Statistical
D0220,Ph-InteriorSindh-0220 Traders,Interior Sindh,SM005,False,826.0,GREEN (Reliable),Statistical
D0079,FM-InteriorPunjab-0079 Traders,Interior Punjab,SM008,False,827.0,GREEN (Reliable),Statistical
D0158,FM-Karachi-0158 Traders,Karachi,SM007,False,827.0,GREEN (Reliable),Statistical
D0014,FM-Karachi-0014 Traders,Karachi,SM008,False,829.0,GREEN (Reliable),Statistical
D0191,Ph-InteriorSindh-0191 Traders,Interior Sindh,SM005,True,830.0,GREEN (Reliable),Statistical
D0143,Te-Faisalabad-0143 Traders,Faisalabad,SM006,False,831.0,GREEN (Reliable),Statistical
D0084,FM-Lahore-0084 Traders,Lahore,SM003,False,832.0,GREEN (Reliable),Statistical
D0061,Te-Karachi-0061 Traders,Karachi,SM005,False,833.0,GREEN (Reliable),Statistical
D0101,Ph-InteriorPunjab-0101 Traders,Interior Punjab,SM002,False,833.0,GREEN (Reliable),Statistical
D0078,Ph-Rawalpindi-0078 Traders,Rawalpindi,SM007,False,834.0,GREEN (Reliable),Statistical
D0036,Te-Multan-0036 Traders,Multan,SM005,False,834.0,GREEN (Reliable),Statistical
D0180,Ph-Karachi-0180 Traders,Karachi,SM005,False,834.0,GREEN (Reliable),Statistical
D0018,Te-Gujranwala-0018 Traders,Gujranwala,SM006,False,834.0,GREEN (Reliable),Statistical
D0004,Ph-Rawalpindi-0004 Traders,Rawalpindi,SM003,False,834.0,GREEN (Reliable),Statistical
D0147,Ph-Karachi-0147 Traders,Karachi,SM004,False,835.0,GREEN (Reliable),Statistical
D0132,Te-Rawalpindi-0132 Traders,Rawalpindi,SM003,False,835.0,GREEN (Reliable),Statistical
D0120,Ph-Gujranwala-0120 Traders,Gujranwala,SM008,False,835.0,GREEN (Reliable),Statistical
D0026,Ph-Lahore-0026 Traders,Lahore,SM008,False,836.0,GREEN (Reliable),Statistical
D0128,Ph-Lahore-0128 Traders,Lahore,SM002,False,837.0,GREEN (Reliable),Statistical
D0118,Ph-Karachi-0118 Traders,Karachi,SM002,False,837.0,GREEN (Reliable),Statistical
D0209,FM-InteriorSindh-0209 Traders,Interior Sindh,SM005,False,837.0,GREEN (Reliable),Statistical
D0129,FM-Lahore-0129 Traders,Lahore,SM005,False,838.0,GREEN (Reliable),Statistical
D0169,Te-Multan-0169 Traders,Multan,SM003,True,839.0,GREEN (Reliable),Statistical
D0149,Te-Lahore-0149 Traders,Lahore,SM005,True,840.0,GREEN (Reliable),Statistical
D0005,FM-Lahore-0005 Traders,Lahore,SM001,True,841.0,GREEN (Reliable),Statistical
D0024,FM-Rawalpindi-0024 Traders,Rawalpindi,SM008,False,841.0,GREEN (Reliable),Statistical
D0172,Te-Peshawar-0172 Traders,Peshawar,SM001,False,841.0,GREEN (Reliable),Statistical
D0094,Ph-Islamabad-0094 Traders,Islamabad,SM005,False,841.0,GREEN (Reliable),Statistical
D0047,Ph-Faisalabad-0047 Traders,Faisalabad,SM005,False,842.0,GREEN (Reliable),Statistical
D0131,FM-Rawalpindi-0131 Traders,Rawalpindi,SM006,False,842.0,GREEN (Reliable),Statistical
D0110,FM-Islamabad-0110 Traders,Islamabad,SM004,False,843.0,GREEN (Reliable),Statistical
D0056,Ph-InteriorSindh-0056 Traders,Interior Sindh,SM006,False,843.0,GREEN (Reliable),Statistical
D0189,Ph-Lahore-0189 Traders,Lahore,SM005,False,845.0,GREEN (Reliable),Statistical
D0218,Ph-Karachi-0218 Traders,Karachi,SM007,False,845.0,GREEN (Reliable),Statistical
D0111,Ph-Gujranwala-0111 Traders,Gujranwala,SM006,False,845.0,GREEN (Reliable),Statistical
D0006,Ph-InteriorSindh-0006 Traders,Interior Sindh,SM008,False,847.0,GREEN (Reliable),Statistical
D0090,FM-Karachi-0090 Traders,Karachi,SM001,False,847.0,GREEN (Reliable),Statistical
D0032,FM-Islamabad-0032 Traders,Islamabad,SM001,False,848.0,GREEN (Reliable),Statistical
D0194,FM-Gujranwala-0194 Traders,Gujranwala,SM005,True,849.0,GREEN (Reliable),Statistical
