dealer_id,dealer_name,salesman_id,territory_risk_tier,bounce_rate_lifetime,avg_days_late_nonseasonal,payment_volatility,real_exposure_pkr,order_frequency_trend,salesman_default_rate_loo,territory_default_rate_loo,payment_delay_severity,risk_probability,credit_score,risk_flag
D0001,FM-Islamabad-0001 Traders,SM001,Low,0.0,1.0,1.224744871391589,25078.103647431464,-0.1111111111111111,0.0706134128183214,0.017698558717844946,-0.7026973933837966,0.09430547826344608,900.0,GREEN (Reliable)
D0002,Te-Lahore-0002 Traders,SM007,Low,0.0,1.6,1.6733200530681511,309052.38708507887,5.0,0.031461751367213554,0.017698558717844946,-0.6257419807906017,0.35117019633536006,805.0,GREEN (Reliable)
D0003,FM-Karachi-0003 Traders,SM001,Medium,0.0,10.909090909090908,5.7005116729407135,165814.35866354665,14.0,0.0706134128183214,0.052106245899751005,0.26005140648080716,0.6429203449986354,736.0,GREEN (Reliable)
D0004,Ph-Rawalpindi-0004 Traders,SM003,Low,0.0,2.75,1.9086270308410553,87062.06681778381,8.0,0.05087287953630459,0.017698558717844946,-0.5438694573226244,0.24723528589840552,834.0,GREEN (Reliable)
D0005,FM-Lahore-0005 Traders,SM001,Low,0.07407407407407407,1.7,1.8092355660149217,404800.6504444943,0.45454545454545453,0.06752699306523498,0.01668384537436448,-0.6064894503973446,0.22619954204042156,841.0,GREEN (Reliable)
D0006,Ph-InteriorSindh-0006 Traders,SM008,High,0.0,1.9444444444444444,1.7559422921421233,307956.5119322884,-0.3333333333333333,0.0485033973303768,0.0704023655478718,-0.5999435694038195,0.2084585405530803,847.0,GREEN (Reliable)
D0007,Ph-Karachi-0007 Traders,SM001,Medium,0.2608695652173913,35.36363636363637,11.740766083833462,379868.53218388226,-0.08333333333333333,0.05974384760093009,0.049621773850061564,2.1099821849530045,0.9928581656072947,485.0,RED (High Risk)
D0008,FM-Karachi-0008 Traders,SM003,Medium,0.058823529411764705,2.25,1.7594980344783944,33702.30082427175,-0.1111111111111111,0.0489120952225791,0.05154602181011515,-0.5843867371169967,0.14628772595670436,872.0,GREEN (Reliable)
D0009,Te-InteriorPunjab-0009 Traders,SM002,Medium,0.058823529411764705,1.6538461538461537,1.6546610607029015,30330.69607053402,-0.5217391304347826,0.0360618368559545,0.05154602181011515,-0.6250272399734913,0.16209207924822203,865.0,GREEN (Reliable)
D0010,Te-InteriorPunjab-0010 Traders,SM006,Medium,0.0,10.4,5.734002779802943,376731.8491063213,2.0,0.04057246715117146,0.052106245899751005,0.23827412627653843,0.7461780653768657,708.0,GREEN (Reliable)
D0011,Ph-Faisalabad-0011 Traders,SM006,Medium,0.03571428571428571,10.869565217391305,6.085806194501846,370089.7079242989,-0.35294117647058826,0.039296956947089824,0.051766109845329235,0.2985783496791494,0.7565281555834906,704.0,GREEN (Reliable)
D0012,Te-Faisalabad-0012 Traders,SM006,Medium,0.07142857142857142,6.636363636363637,6.345804186171424,506909.7374716513,0.0,0.03802144674300819,0.05142597379090747,0.11555262466796219,0.7318207128996945,712.0,GREEN (Reliable)
D0013,Te-Faisalabad-0013 Traders,SM007,Medium,0.0,1.4444444444444444,1.5345938729769368,48838.51080312985,0.4444444444444444,0.031461751367213554,0.052106245899751005,-0.6480504607877366,0.1791389811700912,858.0,GREEN (Reliable)
