dealer_id,dealer_name,city,sector,salesman_id,is_salesman_favorite,credit_limit_pkr,credit_score,risk_flag,risk_probability,scoring_method
D0095,Ph-Gujranwala-0095 Traders,Gujranwala,Pharma,SM005,True,500000,385.0,RED,0.9987328652776749,Statistical
D0080,Ph-Rawalpindi-0080 Traders,Rawalpindi,Pharma,SM008,True,200000,418.0,RED,0.997745758211257,Statistical
D0083,Ph-Gujranwala-0083 Traders,Gujranwala,Pharma,SM007,False,350000,422.0,RED,0.9976026655013852,Statistical
D0181,Ph-Faisalabad-0181 Traders,Faisalabad,Pharma,SM005,False,750000,428.0,RED,0.9973358127775163,Statistical
D0125,Ph-InteriorSindh-0125 Traders,Interior Sindh,Pharma,SM005,True,500000,439.0,RED,0.9967998200070971,Statistical
D0052,Ph-Karachi-0052 Traders,Karachi,Pharma,SM007,False,500000,442.0,RED,0.9966184968858763,Statistical
D0167,FM-Peshawar-0167 Traders,Peshawar,FMCG,SM006,False,200000,442.0,RED,0.9966275616799054,Statistical
D0215,Te-InteriorPunjab-0215 Traders,Interior Punjab,Textile,SM001,False,500000,453.0,RED,0.9958867380429794,Statistical
D0030,Ph-InteriorSindh-0030 Traders,Interior Sindh,Pharma,SM001,False,350000,455.0,RED,0.9957513188600644,Statistical
D0073,FM-Karachi-0073 Traders,Karachi,FMCG,SM003,False,500000,467.0,RED,0.9947543759725095,Statistical
D0177,Ph-Lahore-0177 Traders,Lahore,Pharma,SM002,True,500000,474.0,RED,0.9941313899200073,Statistical
D0035,Ph-Karachi-0035 Traders,Karachi,Pharma,SM006,False,500000,476.0,RED,0.9939134524198203,Statistical
D0025,Te-Peshawar-0025 Traders,Peshawar,Textile,SM006,False,50000,478.0,RED,0.9937024717724202,Statistical
D0070,Te-Karachi-0070 Traders,Karachi,Textile,SM003,True,350000,479.0,RED,0.9935742899366005,Statistical
D0103,Te-Faisalabad-0103 Traders,Faisalabad,Textile,SM004,False,100000,481.0,RED,0.9933998605518666,Statistical
D0037,FM-Multan-0037 Traders,Multan,FMCG,SM001,False,50000,485.0,RED,0.9928788489831099,Statistical
D0069,FM-InteriorPunjab-0069 Traders,Interior Punjab,FMCG,SM002,False,50000,485.0,RED,0.992860423293389,Statistical
