domain,schema,table,table_purpose,column,data_type,nullable,default,primary_key,unique,references,introduced_by
Audit,audit,audit_logs,Private business-operation audit evidence.,id,uuid,false,gen_random_uuid(),true,false,,20260717000600_phase2_documents_reporting_operations.sql
Audit,audit,audit_logs,Private business-operation audit evidence.,institution_id,uuid,true,,false,false,public.institutions(id),20260717000600_phase2_documents_reporting_operations.sql
Audit,audit,audit_logs,Private business-operation audit evidence.,campus_id,uuid,true,,false,false,,20260717000600_phase2_documents_reporting_operations.sql
Audit,audit,audit_logs,Private business-operation audit evidence.,actor_auth_user_id,uuid,true,,false,false,auth.users(id),20260717000600_phase2_documents_reporting_operations.sql
Audit,audit,audit_logs,Private business-operation audit evidence.,actor_staff_profile_id,uuid,true,,false,false,public.staff_profiles(id),20260717000600_phase2_documents_reporting_operations.sql
Audit,audit,audit_logs,Private business-operation audit evidence.,actor_student_id,uuid,true,,false,false,,20260717000600_phase2_documents_reporting_operations.sql
Audit,audit,audit_logs,Private business-operation audit evidence.,operation,text,false,,false,false,,20260717000600_phase2_documents_reporting_operations.sql
Audit,audit,audit_logs,Private business-operation audit evidence.,entity_type,text,true,,false,false,,20260717000600_phase2_documents_reporting_operations.sql
Audit,audit,audit_logs,Private business-operation audit evidence.,entity_id,uuid,true,,false,false,,20260717000600_phase2_documents_reporting_operations.sql
Audit,audit,audit_logs,Private business-operation audit evidence.,correlation_id,uuid,true,,false,false,,20260717000600_phase2_documents_reporting_operations.sql
Audit,audit,audit_logs,Private business-operation audit evidence.,outcome,text,false,,false,false,,20260717000600_phase2_documents_reporting_operations.sql
Audit,audit,audit_logs,Private business-operation audit evidence.,details,jsonb,false,CAST('{}' AS jsonb),false,false,,20260717000600_phase2_documents_reporting_operations.sql
Audit,audit,audit_logs,Private business-operation audit evidence.,occurred_at,timestamptz,false,"timezone('utc', now())",false,false,,20260717000600_phase2_documents_reporting_operations.sql
Audit,audit,audit_logs,Private business-operation audit evidence.,created_at,timestamptz,false,"timezone('utc', now())",false,false,,20260717000600_phase2_documents_reporting_operations.sql
Identity & authorization,audit,authorization_events,Stores authorization events records for the academic operations model.,id,uuid,false,gen_random_uuid(),true,false,,20260717000200_phase2_identity_and_authorization.sql
Identity & authorization,audit,authorization_events,Stores authorization events records for the academic operations model.,occurred_at,timestamptz,false,"timezone('utc', now())",false,false,,20260717000200_phase2_identity_and_authorization.sql
Identity & authorization,audit,authorization_events,Stores authorization events records for the academic operations model.,auth_user_id,uuid,true,,false,false,auth.users(id),20260717000200_phase2_identity_and_authorization.sql
Identity & authorization,audit,authorization_events,Stores authorization events records for the academic operations model.,staff_profile_id,uuid,true,,false,false,public.staff_profiles(id),20260717000200_phase2_identity_and_authorization.sql
Identity & authorization,audit,authorization_events,Stores authorization events records for the academic operations model.,operation,text,false,,false,false,,20260717000200_phase2_identity_and_authorization.sql
Identity & authorization,audit,authorization_events,Stores authorization events records for the academic operations model.,institution_id,uuid,true,,false,false,public.institutions(id),20260717000200_phase2_identity_and_authorization.sql
Identity & authorization,audit,authorization_events,Stores authorization events records for the academic operations model.,campus_id,uuid,true,,false,false,public.campuses(id),20260717000200_phase2_identity_and_authorization.sql
Identity & authorization,audit,authorization_events,Stores authorization events records for the academic operations model.,allowed,boolean,false,,false,false,,20260717000200_phase2_identity_and_authorization.sql
Identity & authorization,audit,authorization_events,Stores authorization events records for the academic operations model.,reason_code,text,false,,false,false,,20260717000200_phase2_identity_and_authorization.sql
Identity & authorization,audit,authorization_events,Stores authorization events records for the academic operations model.,correlation_id,uuid,true,,false,false,,20260717000200_phase2_identity_and_authorization.sql
Identity & authorization,audit,authorization_events,Stores authorization events records for the academic operations model.,details,jsonb,false,CAST('{}' AS jsonb),false,false,,20260717000200_phase2_identity_and_authorization.sql
Audit,audit,data_change_events,Stores data change events records for the academic operations model.,id,uuid,false,gen_random_uuid(),true,false,,20260717000600_phase2_documents_reporting_operations.sql
Audit,audit,data_change_events,Stores data change events records for the academic operations model.,institution_id,uuid,true,,false,false,public.institutions(id),20260717000600_phase2_documents_reporting_operations.sql
Audit,audit,data_change_events,Stores data change events records for the academic operations model.,table_name,text,false,,false,false,,20260717000600_phase2_documents_reporting_operations.sql
Audit,audit,data_change_events,Stores data change events records for the academic operations model.,record_id,uuid,true,,false,false,,20260717000600_phase2_documents_reporting_operations.sql
Audit,audit,data_change_events,Stores data change events records for the academic operations model.,action,text,false,,false,false,,20260717000600_phase2_documents_reporting_operations.sql
Audit,audit,data_change_events,Stores data change events records for the academic operations model.,changed_by,uuid,true,,false,false,auth.users(id),20260717000600_phase2_documents_reporting_operations.sql
Audit,audit,data_change_events,Stores data change events records for the academic operations model.,correlation_id,uuid,true,,false,false,,20260717000600_phase2_documents_reporting_operations.sql
