schema,entity
public,institutions
public,campuses
public,institution_settings
public,academic_years
public,terms
public,enrollment_periods
public,departments
public,programs
public,grading_policies
public,grade_scales
public,academic_standing_rules
public,enrollment_policies
public,transcript_settings
public,notification_settings
public,hec_report_settings
public,staff_profiles
public,role_assignments
public,campus_assignments
public,permission_grants
public,student_auth_links
public,students
public,student_contacts
public,student_program_registrations
public,document_requirements
public,student_documents
public,student_profile_requests
public,courses
public,course_prerequisites
public,course_equivalencies
public,course_offerings
public,sections
public,section_schedules
public,rooms
public,teacher_assignments
public,assessment_components
public,assessments
public,enrollment_requests
public,enrollment_request_items
public,enrollments
public,enrollment_decisions
public,waitlist_entries
public,timetable_conflict_evidence
public,prerequisite_evidence
public,marks_batches
public,marks_batch_files
public,student_marks
public,marks_validation_issues
public,marks_approval_history
public,mark_correction_requests
public,course_results
public,semester_results
public,cumulative_results
public,academic_standing_history
public,transcript_requests
public,transcript_documents
public,transcript_delivery_records
ops,idempotency_records
ops,notification_outbox
ops,notification_deliveries
ops,workflow_runs
ops,incidents
ops,incident_events
ops,maintenance_runs
ops,hec_report_runs
ops,generated_report_files
ops,dashboard_refresh_runs
audit,audit_logs
audit,data_change_events
audit,authorization_events
app,internal_functions_only
reporting,internal_views_and_models_only
