rpc_name,authorization_path,operation
rpc_submit_student_profile,trusted_server,student.profile.submit
rpc_submit_enrollment_request,trusted_server,enrollment.submit
rpc_decide_enrollment,user_jwt,enrollment.decide
rpc_promote_waitlist,user_jwt_or_trusted_schedule,enrollment.waitlist.promote
rpc_submit_marks_batch,restricted_form_or_user_jwt,marks.batch.submit
rpc_finalize_marks_batch,restricted_form_or_user_jwt,marks.batch.finalize
rpc_decide_marks_batch,user_jwt,marks.batch.decide
rpc_request_mark_correction,controlled_route_or_user_jwt,marks.correction.request
rpc_decide_mark_correction,user_jwt,marks.correction.decide
rpc_publish_results,user_jwt,results.publish
rpc_create_transcript_request,trusted_server_or_user_jwt,transcript.request.create
rpc_get_transcript_model,trusted_server_or_user_jwt,transcript.model.get
rpc_record_transcript_document,trusted_server,transcript.document.record
rpc_create_hec_report_run,user_jwt,hec.report.create
rpc_get_hec_enrollment_data,user_jwt_or_trusted_server,hec.report.data
rpc_record_generated_report,trusted_server,report.file.record
rpc_search_students,user_jwt,student.search
rpc_get_dashboard_snapshot,user_jwt_or_trusted_schedule,dashboard.snapshot
rpc_claim_notifications,trusted_server,notification.claim
rpc_record_notification_attempt,trusted_server,notification.attempt.record
rpc_get_operations_snapshot,user_jwt_or_trusted_schedule,operations.snapshot
rpc_apply_scheduled_maintenance,trusted_server,operations.maintenance.apply
rpc_record_incident,trusted_server,incident.record
rpc_log_workflow_run,trusted_server,workflow.run.log
